Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
01/04/2022,7.13,12.19,12.907,12.989,13.051,13.243,13.296,13.392,13.642,13.296,13.25,12.915,13.042,17.777,14.095,18.144,27.941,27.953,32.834,29.856,30.113,31.21,33.704,33.907,33.367,37.378,32.282,31.637,25.145,24.521,22.196,18.566,14.381,11.134,9.168,8.657,10.186,12.043,11.948,11.547,9.394,9.262,9.365,9.086,9.231,10.054,11.04,8.314
02/04/2022,7.68,9.25,11.371,11.052,11.247,11.134,11.103,10.949,8.539,8.398,9.327,11.158,11.223,15.418,14.007,13.536,11.933,10.586,10.98,10.572,11.77,12.569,12.742,12.216,8.734,6.566,10.296,12.197,11.321,10.817,11.748,11.628,11.933,10.071,6.226,6.204,8.033,10.841,10.709,10.642,11.083,11.511,11.777,9.821,9.087,8.808,11.415,11.112
03/04/2022,11.199,11.004,10.966,11.167,12.958,13.508,13.339,13.479,13.414,13.436,13.373,13.601,13.524,18.576,16.414,16.008,11.907,10.954,10.781,10.598,11.405,12.972,12.984,11.976,10.843,9.696,11.165,11.832,11.446,11.316,11.811,11.885,11.29,10.195,9.372,9.437,10.066,11.249,8.21,7.661,9.855,12.077,11.796,11.772,11.784,10.863,10.7,10.714
04/04/2022,10.841,10.908,10.724,10.615,10.704,8.544,7.839,8.338,11.408,11.441,11.571,11.568,11.763,16.587,13.992,17.014,29.345,30.728,33.641,33.504,32.11,37.397,35.304,35.592,35.396,37.102,34.037,35.29,27.002,25.976,23.463,19.987,18.831,13.918,10.985,10.86,10.464,12.118,12.012,11.295,9.516,9.197,9.128,9.017,9.14,9.242,11.292,8.259
05/04/2022,8.458,9.219,11.52,11.297,11.184,10.714,8.321,8.366,10.354,11.873,12.26,12.293,12.406,17.408,17.931,17.998,26.854,31.872,35.335,30.555,33.387,32.4,34.356,35.657,37.226,37.4,32.947,33.264,29.849,25.512,22.287,19.171,17.057,13.714,10.764,9.149,10.988,12.509,12.38,11.897,9.749,9.653,9.42,9.446,9.548,9.771,11.412,8.522
06/04/2022,8.482,8.508,11.347,11.559,11.707,10.354,8.554,8.645,10.793,12.305,12.728,12.79,12.699,16.647,16.79,19.625,26.76,30.648,34.553,33.142,32.782,33.617,34.068,34.373,35.94,34.071,37.639,34.685,33.569,26.078,21.13,19.291,16.647,13.839,11.753,9.56,10.901,12.49,12.058,12.091,10.287,9.821,10.272,10.037,10.315,10.995,12.466,10.318
07/04/2022,10.531,10.846,13.661,13.644,13.839,13.188,9.749,8.088,10.344,11.688,11.636,11.443,12.423,16.627,14.976,14.103,28.98,29.763,35.307,32.981,36.773,39.353,40.224,38.374,36.348,37.296,36.122,31.803,29.321,24.847,20.955,18.051,13.421,10.762,8.664,7.898,9.089,11.187,10.997,10.568,8.175,8.302,8.405,8.489,8.513,8.15,10.844,8.232
08/04/2022,7.795,7.678,10.253,10.733,10.867,12.403,11.211,10.853,11.338,11.611,12.567,12.581,12.514,17.011,13.16,15.06,30.802,32.465,33.437,35.235,34.042,39.048,36.219,39.166,37.186,34.76,32.703,30.66,27.864,24.041,20.571,14.544,12.355,10.947,8.47,8.036,10.03,11.638,11.328,10.839,8.052,9.204,9.055,8.914,9.355,9.137,11.285,8.561
09/04/2022,7.822,8.345,11.153,11.384,11.29,11.407,11.429,13.14,13.546,13.601,13.646,13.702,13.62,16.946,16.239,14.477,13.327,10.968,10.738,10.572,11.782,11.964,12.761,11.828,11.866,9.859,11.115,11.518,11.465,10.301,11.134,8.558,9.156,8.172,10.064,9.655,9.884,10.45,9.835,7.51,7.4,9.593,11.283,11.362,11.681,11.143,11.192,9.931
10/04/2022,8.18,8.254,10.222,11.393,11.143,11.167,11.098,11.1,11.184,11.232,11.364,11.088,10.567,11.923,11.002,12.434,11.792,10.596,10.464,10.313,11.04,12.975,12.848,11.419,10.104,9.528,10.275,9.003,8.693,9.975,11.791,11.511,10.272,10.03,9.504,9.317,10.025,10.284,7.45,7.32,8.818,11.242,11.523,11.494,11.751,10.913,10.802,10.853
